ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","","Brass, miscellaneous",103.00,2.700000,en,18036,yellow brass,retail
"","",Hartmetall Wendeschneidplatten,10.30,11.941121,de,18017,tungsten carbide,retail
"","","Tungsten carbide, miscellaneous",0.20,9.890000,en,18020,tungsten carbide,retail
"","",Hartmetall Wendeschneidplatten,3.00,12.250000,de,18017,tungsten carbide,retail
"","","Aluminium profiles, bare (new)",60.50,1.310000,en,18001,aluminium,retail
"","","E1 - iron and steel, miscellaneous scrap",72.50,0.080000,en,18060,iron and steel,retail
"","","Aluminium, miscellaneous",4.00,0.690000,en,18003,aluminium,retail
"","","Aluminium profiles, painted",10.60,1.060000,en,18002,aluminium,retail
"","","Copper Cable, min. 38% Cu",0.03,1.440000,en,18028,cables,retail
"","",Hartmetall Wendeschneidplatten,15.50,11.940000,de,18017,tungsten carbide,retail
"","",Class 3 circuit boards,2.40,0.200000,en,18045,pcbs,retail
"","","Cast aluminium, old",7.20,0.930000,en,18014,aluminium,retail
"","","Aluminium profiles, bare (new)",3.80,1.220000,en,18001,aluminium,retail
"","","E1 - iron and steel, miscellaneous scrap",2.90,0.070000,en,18060,iron and steel,retail
"","",Class 3 circuit boards,0.40,2.060000,en,18045,pcbs,retail
"","","Copper Cable, min. 38% Cu",129.00,1.460000,en,18028,cables,retail
"","","Copper, miscellaneous, low-grade, old",126.00,4.010000,en,18024,copper,retail
"","","Brass, miscellaneous",306.00,2.640000,en,18036,yellow brass,retail
"","",Scrap soft lead,9.40,1.372857,en,19556,lead,retail
"","","Aluminium rims, contaminated",6.60,1.000000,en,18012,aluminium,retail
"","",Copper cable with plug,43.50,0.870000,en,18029,cables,retail
"","","Bright copper, no 1, Millberry",11.00,4.690000,en,18025,copper,retail
"","","Copper Cable, min. 38% Cu",21.80,1.499231,en,18028,cables,retail
"","","Aluminium profiles, painted",0.60,1.060000,en,18002,aluminium,retail
"","","Mobiles, smartphones",0.20,6.920000,en,18043,phones,retail
"","","Aluminium, miscellaneous",65.00,1.110000,en,18003,aluminium,retail
"","",Disc drives,0.40,15.570000,en,18055,pc components,retail
"","","Aluminium, miscellaneous",198.00,1.260000,en,18003,aluminium,retail
"","","Hss, miscellaneous, high speed steel",19.80,0.840000,en,18018,tungsten carbide,retail
"","",Hartmetall Bohrer und Fräser,15.00,13.156075,de,18019,tungsten carbide,retail
"","","Bright copper, no 1, Millberry",29.80,4.670000,en,18025,copper,retail
"","","Copper, miscellaneous, low-grade, old",6.80,4.140000,en,18024,copper,retail
"","","Copper, miscellaneous, low-grade, old",10.00,4.100000,en,18024,copper,retail
"","","Copper Cable, min. 38% Cu",20.00,1.470000,en,18028,cables,retail
"","",Lead batteries,500.00,0.470000,en,18065,electronics,retail
"","","Copper, miscellaneous, low-grade, old",10.00,4.200000,en,18024,copper,retail
"","","Brass, miscellaneous",299.00,2.690000,en,18036,yellow brass,retail
"","",Electric motors - large,24.40,0.430000,en,10212,electronics,retail
"","","Bright copper, no 1, Millberry",2.20,4.809048,en,18025,copper,retail
"","","Brass, miscellaneous",7.50,2.534660,en,18036,yellow brass,retail
"","","Copper, miscellaneous, low-grade, old",10.10,3.970000,en,18024,copper,retail
"","","Cast aluminium, old",86.00,0.910000,en,18014,aluminium,retail
"","","Zinc, old",4.00,1.260000,en,18073,zinc,retail
"","",Electric motors - large,5.60,0.410000,en,10212,electronics,retail
"","","Aluminium, miscellaneous",31.30,1.160000,en,18003,aluminium,retail
"","",Hartmetall Bohrer und Fräser,22.00,13.160000,de,18019,tungsten carbide,retail
"","","Brass, miscellaneous",13.80,2.600000,en,18036,yellow brass,retail
"","","Stainless steel, V2a, nirosta, niro",6.00,0.780000,en,18037,stainless steel,retail
"","",E3 - heavy scrap,107.00,0.090000,en,18061,iron and steel,retail
"","","Brass, miscellaneous",3.40,2.480000,en,18036,yellow brass,retail
"","",Brass cartridges,335.00,2.800000,en,18034,yellow brass,retail
"","",Hartmetall Bohrer und Fräser,14.90,13.600000,de,18019,tungsten carbide,retail
"","","Bright copper, no 1, Millberry",17.40,4.430000,en,18025,copper,retail
"","",Hartmetall Bohrer und Fräser,0.50,13.160000,de,18019,tungsten carbide,retail
"","","Hss, miscellaneous, high speed steel",1.40,0.844393,en,18018,tungsten carbide,retail
"","","Copper Cable, min. 38% Cu",3.00,1.520000,en,18028,cables,retail
