fk_material_alias,lower(txt_price_formula)
a0g09000001F4utAAC,65% lme
a0g09000001F4sRAAS,fixed price
a0g09000001F4sRAAS,1 980
a0g9N0000001NuvQAE,lme -15
a0g9N0000001NuvQAE,lme -50
a0g09000001F4vuAAC,1300 euro
a0g09000001F4uzAAC,4880 €/t
a0g09000001F4uwAAC,4150 €/t
a0g09000001F4uzAAC,5000 €/t
a0g09000001F4uwAAC,4250 €/t
a0g09000001F4u5AAC,lme - 400
a0g09000001F4pYAAS,lme flat
a0g09000001F4qIAAS,lme +30
a0g09000001F4sHAAS,1200
a0g09000001F4sHAAS,1190
a0g09000001F4pYAAS,lme +30
a0g9N0000002yaJQAQ,price + financing fee (2570 $ / t)
a0g9N0000002yE3QAI,price + financing fee (2570 $ / t)
a0g9N0000002yaJQAQ,price + financing fee (2621.51 $ / t)
a0g9N0000002yE3QAI,"fixed price ( 2,621.51 usd/mt)"
a0g09000001F4qIAAS,1985 €/t
a0g9N0000000wiZQAQ,lme - 20 eur/mt
a0g09000001F4qIAAS,1600 €/t
a0g9N0000002n5RQAQ,+440usd
a0g9N0000002n5MQAQ,+365 usd
a0g09000001F4vjAAC,402€/mt
a0g09000001F4vjAAC,322€/mt
a0g9N0000000BTmQAM,avg. cash lme previous month delivery + 140€/mt
a0g09000001F4tXAAS,lme + 80 eur/mt
a0g9N0000002zhoQAA,fixed (335 usd/mt)
a0g9N0000002zhoQAA,fixed (325 eur/mt)
a0g9N0000001zIwQAI,bdsv 2/8 +60
a0g9N0000001zuNQAQ,bdsv -20
a0g9N0000001zHyQAI,lme +10
a0g9N0000002i55QAA,"euwid großhandelsankaufpreise für altmetalle, al-schrott, alu-blechabfälle, max. 5% , unterer wert euwid +350"
a0g9N0000002i5ZQAQ,"euwid großhandelsankaufpreise für altmetalle, al-schrott, alu-blechabfälle, max. 5% , unterer wert euwid +550"
a0g9N0000002i5PQAQ,"großhandels ankaufpreise für altmetalle, al-schrott, guss-schrott, max. 2% fe, unterer wert euwid +400"
a0g09000001F4tXAAS,94.85% lowest lme (eur)
a0g9N00000024GXQAY,96.75% 3m lme (usd)
a0g09000001F4qIAAS,lme -120
a0g09000001F4qIAAS,al lme +50 (20.12.23)
a0g9N0000002AbrQAE,0
a0g9N00000031JsQAI,1800
a0g09000001F4tYAAS,7
a0g09000001F4tYAAS,7
a0g09000001F4pIAAS,1800 €/t
a0g9N0000002nDVQAY,test
a0g9N0000002nDkQAI,test
a0g09000001F4tYAAS,lme flat
a0g9N00000032v6QAA,lme + 228 usd
a0g9N00000032v6QAA,lme + 298 usd
a0g09000001F4pHAAS,lme average month of delivery * 0.93
a0g09000001FmIxAAK,lme + 130 eur/mt
a0g09000001FmIxAAK,lme + 30 eur/mt
a0g9N0000003g5PQAQ,lme - 290 eur/t
a0g09000001FmIxAAK,lme + 30 eur/mt
a0g9N0000003g5PQAQ,lme - 290 eur/mt
a0g09000001F4tXAAS,lme - 25 eur/mt
a0g09000001F4tXAAS,lme - 18 eur/mt
a0g09000001F4tXAAS,lme + 117 eur/mt
a0g9N000000364yQAA,"fixed 2,657 usd/mt"
a0g9N0000003653QAA,"fixed 2,657 usd/mt"
a0g9N0000003653QAA,"fixed 2,706.05 usd/mt"
a0g9N000000364yQAA,"fixed 2,706.05 usd/mt"
a0g09000001F4tqAAC,lme - 295 €/mt
a0g09000001F4tqAAC,lme - 140€/mt - transport difference (20€)
a0g09000001F4vuAAC,lme*0.1
a0g09000001FmHkAAK,not applicable - correction
a0g09000001F4vGAAS,not applicable - stock correction
a0g09000001F4pSAAS,not applicable - stock correction
a0g9N0000002nDkQAI,lme*0.87
a0g09000001F4pIAAS,lme*0.93
a0g9N0000002nDVQAY,lme*0.95
a0g09000001F4qHAAS,1 900
a0g09000001F4tqAAC,lme - 280€/mt
a0g09000001F4vWAAS,lowest of the 4 official al lme quotations of notification day - 300 eu/mt
a0g09000001F4qpAAC,1490eu/mt
a0g09000001F4qpAAC,1600eu/mt
a0g09000001F4tqAAC,lme - 100€/mt
a0g09000001F4tqAAC,99% lme
a0g09000001F4qHAAS,"96,5%"
a0g9N0000000685QAA,2 110 €/t
a0g9N0000000rADQAY,lme-70
a0g9N0000000WLzQAM,lme+125
a0g9N0000000WLpQAM,lme-30
a0g9N0000000WM9QAM,lme-30
a0g09000001F4qHAAS,2 000 €/t
a0g09000001F4qHAAS,2 000
a0g9N0000003DyJQAU,4000
a0g9N0000003DyJQAU,4500
a0g9N0000003DyJQAU,fixed
a0g09000001F4qHAAS,103%
a0g09000001F4u5AAC,lme -395€/mt
a0g9N0000002nDpQAI,1800 €/t
a0g09000001F4v6AAC,fixpreis
a0g09000001F4v6AAC,fixpreis
a0g09000001F4sRAAS,fixpreis
a0g09000001F4rJAAS,1 200
a0g09000001F4xWAAS,1 970
a0g09000001F4rKAAS,1400€/mt
a0g09000001F4xWAAS,lme +10
a0g09000001FmHkAAK,lme -70
a0g9N00000029RCQAY,fixed price
a0g9N0000001zHyQAI,lme - 80€/mt
a0g09000001F4vWAAS,lowest of the 4 unknown official lme quotations - 300eu/mt
a0g09000001F4r4AAC,...
a0g09000001F4r4AAC,...
a0g09000001F4rHAAS,lme -40
a0g9N00000029RCQAY,1315
a0g9N0000002YriQAE,lme +mb -35 (m-1)
a0g09000001F4vjAAC,342€/mt
a0g9N0000001zHyQAI,lme - 80 €/mt
a0g09000001F4vjAAC,427€/mt
a0g9N0000002AbmQAE,380
a0g9N0000002R5WQAU,410
a0g9N0000002AbmQAE,387
a0g9N0000002R5WQAU,407
a0g9N0000000680QAA,+120
a0g09000001F4rqAAC,fixpreis
a0g09000001F4rqAAC,fixpreis
a0g09000001F4tvAAC,lme - 10%
a0g9N0000002fpqQAA,lme - 20%
a0g09000001F4tjAAC,auf auswertung
a0g9N0000003LYgQAM,97% lme lowest (cu)
a0g09000001F4tvAAC,lme - 10%
a0g9N0000002fpqQAA,lme - 10%
a0g09000001F4tjAAC,au auswertung
a0g09000001F4tvAAC,"(lme - 420) * 0,97"
a0g9N0000002fpqQAA,"(lme - 460) * (cu%-1%) (auf auswertung proforma preis: (lme-460) * 0,8638))"
a0g09000001F4uVAAS,"(lme - 250) * 0,7 - 350"
a0g09000001F4tjAAC,auf auswreutng
a0g9N0000000wieQAA,lme -115€/mt
a0g09000001F4tjAAC,auf auswertung
a0g09000001F4tvAAC,lme - 10%
a0g9N0000002fpqQAA,lme - 20%
a0g9N0000002fq0QAA,90% lowest lme
a0g9N0000002fq0QAA,91%
a0g09000001F4yAAAS,"7,470"
a0g09000001F4saAAC,fixpreis
a0g09000001F4sZAAS,fixed price
a0g09000001F4xWAAS,lme +20
a0g09000001F4xWAAS,lme +20
a0g09000001F4ptAAC,1410
a0g09000001F4rHAAS,lme -130
a0g9N000000067qQAA,1400 €/t
a0g09000001F4puAAC,1490 €/t
a0g09000001F4xWAAS,lme +80
a0g9N0000000BTmQAM,lme +60
a0g9N0000002nDpQAI,1765€/t
a0g9N0000002a74QAA,bdsv +120
a0g9N0000003LYgQAM,"96,5% lme (cu)"
a0g09000001F4rqAAC,fixed price
a0g09000001F4rqAAC,fixed price
a0g09000001F4uuAAC,fixpreis
a0g09000001F4uuAAC,"61,75% cu lme spot vom 23.01.23"
a0g09000001F4tHAAS,fixpreis
